MRP,Brand,Processor,RAM,RAM Type,Operating System,Storage Type,Warranty,Storage
69490,ASUS,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
40799,HP,RYZEN,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
39990,Lenovo,I3,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
39990,RedmiBook,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,512 
55990,HP,RYZEN,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
74990,Lenovo,I5,16 ,DDR4,WINDOWS,SSD,1 YEAR,512 
196990,ASUS,RYZEN,16 ,DDR5,WINDOWS,SSD,1 YEAR,1 
38705,Lenovo,RYZEN,8 ,DDR4,WINDOWS,SSD,2 YEAR,512 
69990,HP,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
44990,ASUS,I3,8 ,DDR4,WINDOWS,SSD,1 YEAR,256 
59990,ASUS,I5,8 ,DDR4,WINDOWS,SSD,1 YEAR,1 
